"community_name","average_exhibition_period","HuoFang_rate","price_adjustment_num","price_adjustment_average","community_other_price","community_other_num","community_other_floor","community_other_area","community_average_price","community_average_area","community_average_floor","community_average_AreaPrice","business_district","business_district_sales_num","business_district_other_price","business_district_other_num","business_district_other_floor","business_district_other_area","business_district_average_price","business_district_average_area","business_district_average_floor","business_district_average_AreaPrice"
"张家浜小区",8.49118062039354,"无",1,100,4920,2,14,21.2,2460,10.6,7,232.075471698113,"江浦路",19,51240,19,211,240.08,2696.84210526316,12.6357894736842,11.1052631578947,213.428857047651
"丹佛小镇",11.9483822002565,"无",1,100,960,1,11,8.2,960,8.2,11,117.073170731707,"",8594,NA,8594,167157,99323.31,NA,11.5572853153363,19.4504305329299,NA
"知雅汇(公寓)",15.9993750200951,"无",7,174.285714285714,16550,9,120,112.7,1838.88888888889,12.5222222222222,13.3333333333333,146.850044365572,"九亭",125,244200,125,1612,1602.8,1953.6,12.8224,12.896,152.358372847517
"三林世博家园(东书房路560弄)",20.200632393465,"无",1,130,9430,5,30,56.9,1886,11.38,6,165.72934973638,"浦三路",80,NA,80,659,1050.37,NA,13.129625,8.2375,NA
"御上海",10.2092935739678,"无",4,342.5,9670,5,76,64.4,1934,12.88,15.2,150.155279503106,"松江大学城",114,193465,114,1817,1474.72,1697.06140350877,12.9361403508772,15.9385964912281,131.18761527612
"文景苑",18.6797880318283,"无",3,296.666666666667,5870,3,31,38.7,1956.66666666667,12.9,10.3333333333333,151.679586563307,"松江新城",67,105200,67,558,880.32,1570.14925373134,13.1391044776119,8.32835820895522,119.501999272992
"世纪新城",12.1467839743169,"无",3,323.333333333333,10770,7,45,92.3,1538.57142857143,13.1857142857143,6.42857142857143,116.684723726977,"",8594,NA,8594,167157,99323.31,NA,11.5572853153363,19.4504305329299,NA
"欣源公寓",10.3202705496568,"无",2,1255.5,3859,3,18,29.8,1286.33333333333,9.93333333333333,6,129.496644295302,"七宝",69,152257,69,490,857.47,2206.6231884058,12.4271014492754,7.10144927536232,177.565395873908
"天景山公寓佳福苑",10.7357264439106,"无",2,130,4370,4,24,41.7,1092.5,10.425,6,104.796163069544,"龙眠大道",52,57620,52,622,595.08,1108.07692307692,11.4438461538462,11.9615384615385,96.8273173354843
"百家湖西花园伦敦城",11.1909751414714,"无",5,154,27350,21,212,268.2,1302.38095238095,12.7714285714286,10.0952380952381,101.976137211037,"天元西路",48,68850,48,402,716.46,1434.375,14.92625,8.375,96.0974792730927
